libor;overnight
5.1256;4.955
5.14;4.97
5.1425;4.993
5.19;5.08
5.25;5.105
5.2509;5.11
5.2962;5.115
5.3012;5.125
5.2875;5.14
5.32;5.165
5.3396;5.14
5.3138;5.125
5.295;5.155
5.3262;5.18
5.34;5.175
5.3349;5.17
5.3219;5.155
5.3104;5.13
5.2588;5.055
5.2094;5.065
5.2312;5.095
5.27;5.155
5.3256;5.135
5.2862;5.15
5.2969;5.14
5.285;5.12
5.2575;5.095
5.235;5.065
5.2;5.053
5.2025;5.055
5.1625;5
5.1637;5.02
5.1475;4.995
5.11;5.015
5.14;5.065
5.19;5.07
5.1794;5.08
5.2;5.08
5.1925;5.095
5.1706;5.035
5.1569;5.055
5.1556;5.065
5.1656;5.128
5.21;5.11
5.21;5.09
5.2094;5.095
5.1837;5.075
5.1856;5.055
5.1413;5.085
5.1906;5.11
5.2;5.1
5.1913;5.11
5.205;5.13
5.2294;5.15
5.24;5.195
5.28;5.185
5.2825;5.2
5.3037;5.193
5.2925;5.2
5.2825;5.2
5.2862;5.195
5.27;5.165
5.25;5.175
5.2487;5.17
5.2444;5.16
5.2444;5.16
5.25;5.17
5.25;5.16
5.2237;5.12
5.2;5.075
5.185;5.1
5.1781;5.083
5.1637;5.07
5.1438;5.08
5.1475;5.075
5.1588;5.095
5.1637;5.075
5.1606;5.09
5.1606;5.085
5.17;5.075
5.1625;5.06
5.1225;5.028
5.0875;4.965
5.0519;4.97
5.0325;4.945
5.0188;4.91
4.93;4.865
4.9094;4.87
4.9101;4.895
4.94;4.905
4.95;4.9
4.9388;4.86
4.885;4.85
4.8781;4.83
4.8512;4.81
4.8344;4.825
4.8;4.77
4.765;4.73
4.7663;4.74
4.7663;4.74
4.7538;4.745
4.75;4.74
4.75;4.7
4.75;4.71
4.6875;4.595
4.6169;4.63
4.5219;4.495
4.4556;4.435
4.4563;4.44
4.5;4.52
4.5756;4.61
4.595;4.57
4.5944;4.61
4.6375;4.6
4.5844;4.58
4.6031;4.57
4.56;4.535
4.54;4.51
4.54;4.52
4.54;4.51
4.5819;4.575
4.6156;4.605
4.615;4.63
4.62;4.58
4.6106;4.525
4.5294;4.495
4.505;4.525
4.5406;4.545
4.5433;4.51
4.54;4.545
4.55;4.54
4.55;4.57
4.5863;4.54
4.5577;4.545
4.5594;4.545
4.5706;4.55
4.6029;4.605
4.6156;4.565
4.6131;4.56
4.6263;4.6
4.6425;4.63
4.6787;4.66
4.6787;4.6
4.6481;4.61
4.6113;4.53
4.54;4.518
4.5275;4.545
4.5619;4.54
4.5762;4.55
4.6075;4.535
4.5775;4.54
4.5663;4.525
4.5656;4.54
4.5731;4.52
4.5525;4.53
4.5656;4.585
4.5088;4.48
4.4938;4.46
4.4837;4.45
4.4819;4.45
4.4306;4.355
4.3438;4.26
4.3144;4.265
4.3119;4.27
4.2962;4.3
4.3275;4.28
4.3044;4.29
4.3262;4.28
4.315;4.34
4.3463;4.31
4.3037;4.32
4.3375;4.32
4.3487;4.29
4.2962;4.275
4.2901;4.32
4.335;4.49
4.5356;4.555
4.5356;4.39
4.5356;4.32
4.5769;4.58
4.6237;4.5
4.4975;4.57
4.585;4.565
4.5788;4.56
4.65;4.62
4.635;4.585
4.62;4.57
4.5769;4.625
4.6919;4.73
4.7487;4.7
4.7269;4.71
4.7269;4.665
4.6875;4.64
4.6625;4.63
4.635;4.61
4.63;4.56
4.575;4.37
4.39;4.41
4.4475;4.415
4.4344;4.425
4.4244;4.41
4.4413;4.4
4.44;4.44
4.49;4.41
4.4625;4.455
4.5;4.45
4.4844;4.435
4.4863;4.435
4.4825;4.38
4.46;4.41
4.435;4.375
4.4306;4.37
4.3994;4.32
4.3538;4.315
4.35;4.26
4.3019;4.26
4.31;4.29
4.3219;4.295
4.315;4.28
4.3273;4.31
4.3863;4.35
4.3774;4.3
4.3484;4.31
4.3342;4.275
4.3245;4.27
4.3065;4.24
4.2725;4.26
4.2665;4.215
4.2406;4.205
4.2275;4.235
4.26;4.225
4.237;4.24
4.3134;4.29
4.3019;4.265
4.28;4.34
4.37;4.3
4.3455;4.35
4.3712;4.31
4.3525;4.33
4.3677;4.32
4.3178;4.29
4.34;4.27
4.3238;4.3
4.3277;4.27
4.32;4.29
4.3201;4.26
4.2804;4.29
4.3092;4.275
4.2936;4.24
4.2798;4.26
4.2914;4.25
4.2986;4.235
4.2654;4.21
4.2401;4.21
4.2276;4.2
4.2276;4.19
4.2276;4.18
4.2299;4.15
4.1913;4.15
4.1829;4.185
4.2075;4.18
4.1539;4.1
4.121;4.08
4.0914;4.05
4.0961;4.065
4.0883;4.08
4.0784;4.045
4.0766;4.035
4.0453;4.015
4.0464;4.02
4.0473;4.043
4.0687;4.03
4.0846;4.06
4.095;4.068
4.0761;4.01
4.05;4.015
4.0431;3.95
3.9756;3.985
3.9775;3.97
4.0056;4.07
4.0735;4.06
4.0849;4.005
4.0229;3.95
3.9695;3.955
3.9965;3.79
3.8854;3.81
3.8895;3.77
3.8229;3.74
3.7999;3.525
3.5913;3.535
3.589;3.47
3.5615;3.475
3.549;3.42
3.5462;3.438
3.5166;3.4
3.5068;3.41
3.4963;3.42
3.4926;3.423
3.4891;3.39
3.4765;3.39
3.3992;3.3125
3.3903;3.31
3.3387;3.31
3.35;3.3225
3.3771;3.38
3.41;3.39
3.4127;3.43
3.4651;3.395
3.4246;3.355
3.4038;3.355
