libor;overnight
2.31138;2.17
2.3;2.165
2.282;2.163
2.28363;2.18
2.28113;2.152
2.2715;2.15
2.2515;2.133
2.232;2.13
2.24763;2.122
2.23863;2.129
2.23075;2.133
2.23575;2.122
2.22513;2.125
2.22588;2.123
2.23;2.115
2.21075;2.094
2.20375;2.101
2.20088;2.099
2.2;2.1
2.183;2.095
2.19413;2.086
2.18575;2.102
2.20425;2.11
2.19213;2.088
2.1855;2.08
2.19425;2.09
2.19038;2.102
2.2;2.11
2.2;2.098
2.19875;2.096
2.19863;2.105
2.21088;2.116
2.228;2.107
2.2005;2.097
2.18613;2.086
2.17863;2.09
2.17488;2.08
2.175;2.095
2.17788;2.059
2.14063;2.039
2.1235;2.06
2.12763;2.066
2.12463;2.048
2.11888;2.03
2.10188;2.025
2.10613;2.032
2.10613;2.05
2.102;2.034
2.10625;2.045
2.11;2.064
2.14788;2.06
2.13828;2.065
2.13613;2.03
2.09238;2
2.05875;1.981
2.058;2.004
2.05988;2.002
2.06975;1.996
2.0675;2.023
2.08688;2.019
2.08213;2.008
2.09013;2.035
2.11838;2.046
2.15;2.06
2.14625;2.064
2.085;2.045
2.1375;2.066
2.14888;2.08
2.15988;2.078
2.17238;2.084
2.18;2.09
2.19088;2.099
2.185;2.09
2.1935;2.103
2.18963;2.1
2.18563;2.102
2.18681;2.089
2.181;2.093
2.181;2.099
2.18588;2.114
2.19413;2.12
2.19563;2.11
2.222;2.125
2.224;2.137
2.23513;2.134
2.23413;2.14
2.24138;2.151
2.255;2.15
2.26338;2.153
2.2585;2.153
2.26413;2.152
2.24125;2.13
2.22975;2.126
2.22575;2.11
2.2075;2.11
2.19875;2.11
2.19375;2.109
2.19738;2.115
2.19913;2.11
2.20938;2.123
2.21238;2.11
2.20813;2.127
2.21;2.145
2.223;2.126
2.21125;2.12
2.19963;2.105
2.15613;2.087
2.15488;2.082
2.17438;2.11
2.17975;2.115
2.18175;2.099
2.19;2.108
2.20675;2.126
2.221;2.12
2.21725;2.136
2.22888;2.135
2.23238;2.144
2.22863;2.132
2.22075;2.14
2.22138;2.11
2.20688;2.12
2.21888;2.147
2.25575;2.16
2.26763;2.172
2.28;2.177
2.29438;2.2075
2.32025;2.209
2.333;2.21
2.33788;2.218
2.33488;2.21
2.34188;2.248
2.38425;2.258
2.37863;2.26
2.39;2.26
2.38263;2.254
2.385;2.26
2.38438;2.272
2.40988;2.305
2.42675;2.29
2.41575;2.27
2.41625;2.31
2.42788;2.284
2.41888;2.288
2.4365;2.344
2.4925;2.3776
2.50688;2.4
2.54525;2.413
2.55713;2.421
2.55325;2.42
2.57375;2.453
2.60188;2.444
2.60625;2.487
2.63675;2.5
2.68413;2.5135
2.65213;2.536
2.68413;2.511
2.67438;2.514
2.67425;2.567
2.706;2.53
2.68175;2.508
2.66975;2.531
2.69;2.628
2.78475;2.6
2.76;2.6206
2.745;2.61
2.73238;2.591
2.71093;2.595
2.74613;2.611
2.74813;2.635
2.765;2.633
2.7545;2.592
2.70488;2.5816
2.71538;2.6014
2.71613;2.569
2.7085;2.585
2.70863;2.591
2.747;2.63
2.771;2.628
2.785;2.641
2.78;2.632
2.79075;2.66
2.79875;2.663
2.79763;2.669
2.81438;2.673
2.8375;2.691
2.854;2.683
2.846;2.678
2.846;2.68
2.846;2.7047
2.84263;2.6947
2.84;2.6947
2.8455;2.69
2.85813;2.715
2.8575;2.694
2.828;2.64
2.79;2.628
2.77538;2.623
2.771;2.648
2.80825;2.67
2.8315;2.694
2.84713;2.695
2.82;2.6915
2.81763;2.666
2.80563;2.668
2.78338;2.67
2.83125;2.706
2.83925;2.702
2.83975;2.706
2.8535;2.703
2.86613;2.7286
2.8625;2.728
2.87425;2.745
2.89;2.745
2.90538;2.74
2.90125;2.758
2.91575;2.757
2.91613;2.75
2.91375;2.765
2.9085;2.757
2.90638;2.751
2.91038;2.75
2.89825;2.75
2.90588;2.75
2.89863;2.749
2.8965;2.753
2.90375;2.759
2.895;2.744
2.8775;2.743
2.88825;2.761
2.91275;2.765
2.94125;2.798
2.95638;2.8284
2.96563;2.832
2.98325;2.83
2.99138;2.841
2.99375;2.869
3.0425;2.884
3.04725;2.881
3.06;2.891
3.05325;2.899
3.065;2.896
3.0675;2.913
3.08563;2.922
3.09025;2.91
3.08713;2.92
3.10375;2.924
3.09438;2.958
3.1355;2.9692
3.1385;2.967
3.13838;2.96
3.12738;2.971
3.13625;2.96
3.11988;2.98
3.17938;3.017
3.21813;3.041
3.22738;3.053
3.2335;3.067
3.253;3.095
3.26363;3.09
3.25875;3.07
3.26125;2.994
3.1625;2.986
3.16888;2.99
3.16888;2.989
3.171;2.993
3.18813;3.015
3.18813;3.015
3.18813;3.008
3.19363;2.999
3.18375;3.005
3.20125;3.013
3.19975;3.017
3.19125;3.018
3.222;3.081
3.27963;3.106
3.31825;3.1
3.32063;3.102
3.32063;3.102
3.31238;3.126
3.31775;3.108
3.30138;3.124
3.32138;3.126
3.31413;3.149
3.33588;3.156
3.35025;3.145
3.34488;3.166
3.3605;3.159
3.32113;3.121
3.30263;3.111
3.29788;3.129
3.3025;3.126
3.3055;3.141
3.28175;3.114
3.28625;3.12
3.28475;3.105
3.27525;3.11
3.28125;3.109
3.28713;3.117
3.29938;3.147
3.32288;3.183
3.37;3.187
3.36663;3.163
3.35563;3.206
3.39388;3.22
3.394;3.222
3.38513;3.169
3.3295;3.148
3.32763;3.146
3.29738;3.147
3.32488;3.17
3.35125;3.186
3.3555;3.19
3.37125;3.216
3.37775;3.23
3.41575;3.247
3.42463;3.261
3.439;3.274
3.46313;3.308
3.52;3.328
3.52;3.321
3.51788;3.298
3.51588;3.315
3.50838;3.329
3.507;3.317
3.53088;3.35
3.54;3.373
3.5625;3.357
3.56138;3.365
3.549;3.356
3.56425;3.373
3.54938;3.351
3.52375;3.341
3.5095;3.344
3.52825;3.36
3.55688;3.363
3.55013;3.366
3.53;3.375
3.53775;3.371
3.52375;3.368
3.54813;3.378
3.53375;3.375
3.55;3.373
3.54638;3.377
3.5415;3.372
3.53175;3.381
3.54638;3.432
3.6035;3.426
3.58738;3.432
3.588;3.425
3.6;3.446
3.58725;3.445
3.62;3.468
3.65013;3.491
3.65775;3.487
3.66;3.492
3.65488;3.499
3.67563;3.503
3.66088;3.498
3.65338;3.473
3.60975;3.47
3.63475;3.482
3.60875;3.464
3.60525;3.463
3.62363;3.48
3.61875;3.478
3.625;3.492
3.637;3.501
3.64863;3.512
3.6645;3.54
3.68938;3.545
3.703;3.567
3.70413;3.568
3.73;3.582
3.75688;3.586
3.747;3.591
3.75013;3.603
3.75788;3.605
3.757;3.616
3.76375;3.595
3.7475;3.614
3.761;3.595
3.72375;3.563
3.6675;3.528
3.67263;3.56
3.70575;3.576
3.71625;3.59
3.71388;3.609
3.74475;3.608
3.73188;3.623
3.75713;3.616
3.74563;3.614
3.72063;3.637
3.759;3.638
3.77213;3.664
3.78975;3.667
3.81088;3.663
3.793;3.669
3.80013;3.668
3.79513;3.676
3.80013;3.659
3.78963;3.68
3.79813;3.693
3.825;3.707
3.835;3.72
3.85625;3.717
3.86075;3.739
3.86513;3.729
3.857;3.734
3.85888;3.717
3.82838;3.698
3.82725;3.73
3.83625;3.745
3.87675;3.752
3.8795;3.756
3.88;3.767
3.908;3.778
3.87588;3.757
3.85525;3.759
3.88438;3.761
3.87625;3.766
3.88425;3.771
3.89238;3.74
3.85075;3.728
3.84138;3.735
3.853;3.732
3.8725;3.755
3.85988;3.741
3.8555;3.728
3.84438;3.726
3.84425;3.744
3.85863;3.741
3.85138;3.712
3.803;3.69
3.81388;3.716
3.829;3.733
3.83563;3.763
3.88175;3.776
3.89525;3.78
3.89813;3.783
3.89888;3.813
3.923;3.811
3.93863;3.816
3.93875;3.833
3.96525;3.844
3.97075;3.852
3.98863;3.853
3.99075;3.872
3.99075;3.883
3.99075;3.883
4.00038;3.883
4.01963;3.887
4.02475;3.891
4.02475;3.9
4.02813;3.89
4.02863;3.894
4.03063;3.887
4.02113;3.913
4.04463;3.908
4.05013;3.927
4.06413;3.928
4.076;3.915
4.05213;3.918
4.06088;3.922
4.0615;3.924
4.05913;3.929
4.07688;3.934
4.0715;3.951
4.07938;3.95
4.07175;3.946
4.07763;3.944
4.07738;3.96
4.08688;3.953
4.09275;3.963
4.097;3.963
4.09275;3.962
4.0825;3.957
4.09;3.929
4.04988;3.934
4.05575;3.942
4.06875;3.944
4.07475;3.976
4.1;3.965
4.0935;3.973
4.09863;3.973
4.1065;3.977
4.1;3.975
4.08988;3.983
4.11313;3.993
4.1215;3.984
4.11025;3.987
4.11575;3.997
4.121;3.994
4.10763;3.987
4.09663;3.951
4.05913;3.968
4.07713;3.952
4.05;3.924
3.99813;3.923
4.042;3.958
4.05275;3.951
4.0675;3.987
4.09;4.012
4.11963;4
4.1075;3.993
4.087;4.003
4.11538;4.012
4.10625;4.007
4.1295;4.019
4.13475;4.023
4.127;4.009
4.12338;4.032
4.12363;4.035
4.14125;4.039
4.15738;4.05
4.16;4.054
4.17;4.072
4.18;4.075
4.19475;4.099
4.20688;4.093
4.2035;4.089
4.21;4.1
4.21;4.113
4.21;4.105
4.234;4.125
4.24;4.134
4.25213;4.149
4.26;4.149
4.2695;4.137
4.26713;4.136
4.25775;4.134
4.25775;4.151
4.277;4.149
4.26838;4.146
4.26763;4.145
4.27613;4.157
4.2835;4.178
4.29413;4.171
4.2985;4.153
4.29288;4.168
4.3045;4.188
4.31713;4.193
4.31875;4.187
4.32538;4.196
4.3235;4.182
4.321;4.193
4.32663;4.19
4.3025;4.201
4.33013;4.205
4.34438;4.227
4.36725;4.253
4.39275;4.256
4.4;4.266
4.40013;4.261
